name,directory,image,iframe
Red Ball 4 Vol 3,redball4vol3,https://selenite.cc/resources/semag/redball4vol3/redball4vol3.webp,https://selenite.cc/resources/semag/redball4vol3/index.html
Red Ball 4 Vol 2,redball4vol2,https://selenite.cc/resources/semag/redball4vol2/redball4vol2.webp,https://selenite.cc/resources/semag/redball4vol2/index.html
Red Ball 3,redball3,https://selenite.cc/resources/semag/redball3/redball3.png,https://selenite.cc/resources/semag/redball3/index.html
Snake,snake,https://selenite.cc/resources/semag/snake/snake.png,https://selenite.cc/resources/semag/snake/index.html
Pacman,pacman,https://selenite.cc/resources/semag/pacman/icon.png,https://selenite.cc/resources/semag/pacman/index.html
Color Switch,colorswitch,https://selenite.cc/resources/semag/colorswitch/colorswitch.png,https://selenite.cc/resources/semag/colorswitch/index.html
Halloween 2016,halloween2016,https://selenite.cc/resources/semag/halloween2016/logo.png,https://selenite.cc/resources/semag/halloween2016/index.html
Game Maker Doodle,gamemaker,https://selenite.cc/resources/semag/gamemaker/images.jpeg,https://selenite.cc/resources/semag/gamemaker/index.html
The Impossible Game,theimpossiblegame,https://selenite.cc/resources/semag/theimpossiblegame/image.jpg,https://selenite.cc/resources/semag/theimpossiblegame/index.html
Papas Freezeria,papasfreezeria,https://selenite.cc/resources/semag/papasfreezeria/images.jpeg,https://selenite.cc/resources/semag/papasfreezeria/index.html
Papas Pizzeria,papaspizzeria,https://selenite.cc/resources/semag/papaspizzeria/images.jpeg,https://selenite.cc/resources/semag/papaspizzeria/index.html
Idle Breakout,idlebreakout,https://selenite.cc/resources/semag/idlebreakout/image.png,https://selenite.cc/resources/semag/idlebreakout/index.html
Stickman Hook,stickman-hook,https://selenite.cc/resources/semag/stickman-hook/icon.jpg,https://selenite.cc/resources/semag/stickman-hook/index.html
Drift Hunters,drifthunters,https://selenite.cc/resources/semag/drifthunters/icon.png,https://selenite.cc/resources/semag/drifthunters/index.html
Rocket League,rocketleague,https://selenite.cc/resources/semag/rocketleague/splash.webp,https://selenite.cc/resources/semag/rocketleague/index.html
Little Alchemy,littlealchemy,https://selenite.cc/resources/semag/littlealchemy/images/192-alpha.png,https://selenite.cc/resources/semag/littlealchemy/index.html
Retro Bowl,retrobowl,https://selenite.cc/resources/semag/retrobowl/img/icon.jpg,https://selenite.cc/resources/semag/retrobowl/index.html
Tunnel Rush,tunnelrush,https://selenite.cc/resources/semag/tunnelrush/tunnel.jpg,https://selenite.cc/resources/semag/tunnelrush/index.html
Moto X3M,motox3m,https://selenite.cc/resources/semag/motox3m/splash.jpg,https://selenite.cc/resources/semag/motox3m/index.html
Moto X3M Winter,motox3m-winter,https://selenite.cc/resources/semag/motox3m-winter/download.jpeg,https://selenite.cc/resources/semag/motox3m-winter/index.html
Moto X3M Pool Party,motox3m-pool,https://selenite.cc/resources/semag/motox3m-pool/splash.jpg,https://selenite.cc/resources/semag/motox3m-pool/index.html
Five Nights at Freddy's,fnaf,https://selenite.cc/resources/semag/fnaf/splash.jpg,https://selenite.cc/resources/semag/fnaf/index.html
Burrito Bison,burritobison,https://selenite.cc/resources/semag/burritobison/Build/logo.png,https://selenite.cc/resources/semag/burritobison/index.html
Cut The Rope Holiday,cuttherope-holiday,https://selenite.cc/resources/semag/cuttherope-holiday/Holiday_Gift.webp,https://selenite.cc/resources/semag/cuttherope-holiday/index.html
Helix Jump,helixjump,https://selenite.cc/resources/semag/helixjump/gameIcon.png,https://selenite.cc/resources/semag/helixjump/index.html
